Age,Income,CreditScore,Education,HasMortgage,,LoanAmount
68,21711,616,Bachelor's,Yes,230251,230 
34,103746,551,Bachelor's,No,229636,230 
25,66282,564,High School,No,242287,242 
52,132499,315,PhD,No,84549,85 
52,132751,436,PhD,Yes,31372,31 
50,22773,533,High School,Yes,174149,174 
22,75994,737,High School,Yes,113223,113 
59,146423,372,PhD,No,175145,175 
56,106429,394,PhD,No,80930,81 
58,45015,834,Bachelor's,Yes,103293,103 
45,57096,339,Master's,Yes,148064,148 
24,101452,415,Master's,No,155664,156 
26,58478,668,High School,No,174639,175 
25,80893,748,High School,No,141331,141 
29,141484,715,PhD,No,150284,150 
51,112897,479,PhD,No,216797,217 
50,146992,696,High School,Yes,52331,52 
65,92816,751,PhD,Yes,235363,235 
40,60596,842,PhD,Yes,158698,159 
41,148629,769,Master's,No,111722,112 
54,74954,635,Bachelor's,Yes,242196,242 
52,96409,577,Master's,No,144564,145 
61,134076,602,Master's,No,140885,141 
57,97979,497,Master's,Yes,146880,147 
39,91414,811,High School,Yes,104927,105 
44,29635,714,High School,No,164946,165 
52,78031,578,Master's,No,140988,141 
18,60357,396,High School,Yes,130636,131 
52,107173,513,High School,No,14655,15 
54,64517,842,Bachelor's,No,92300,92 
64,74632,343,High School,No,130550,131 
31,105016,522,Master's,Yes,75374,75 
20,16229,335,High School,Yes,230359,230 
18,81192,601,Master's,Yes,41548,42 
22,108033,499,Bachelor's,Yes,184054,184 
43,89715,380,Bachelor's,No,189510,190 
31,142837,375,Master's,No,24067,24 
56,77101,640,PhD,No,91461,91 
44,73511,566,Bachelor's,No,164865,165 
26,78940,627,PhD,Yes,119094,119 
32,110549,520,Master's,Yes,89154,89 
32,29815,528,PhD,Yes,130015,130 
43,44236,786,High School,No,74159,74 
59,28301,524,Master's,No,108810,109 
30,58104,449,Bachelor's,No,145388,145 
68,105572,489,High School,Yes,244549,245 
49,92500,439,Master's,No,68622,69 
56,38102,401,PhD,No,74817,75 
66,97972,666,PhD,No,153562,154 
69,126838,818,High School,Yes,221077,221 
49,133879,841,Bachelor's,Yes,219533,220 
21,110519,406,High School,Yes,245997,246 
47,116392,508,Bachelor's,No,33750,34 
54,65186,743,Bachelor's,Yes,159843,160 
40,78286,580,PhD,Yes,136444,136 
56,141454,669,Master's,No,142537,143 
62,25124,749,High School,No,219669,220 
32,32363,620,PhD,Yes,126320,126 
60,72904,536,PhD,No,162983,163 
46,15192,734,PhD,Yes,152778,153 
53,30295,375,High School,No,137613,138 
30,119334,787,Master's,Yes,147716,148 
49,134889,592,Master's,No,86160,86 
24,49119,541,High School,No,123531,124 
68,142277,316,Bachelor's,Yes,79391,79 
39,99269,720,Master's,No,232619,233 
45,107954,609,High School,No,100080,100 
19,25678,705,Bachelor's,Yes,134161,134 
59,17550,795,Bachelor's,No,227024,227 
62,58724,674,High School,Yes,92125,92 
23,83406,424,Master's,No,139957,140 
45,54095,770,High School,No,34835,35 
45,148252,695,PhD,Yes,210244,210 
61,52904,407,PhD,Yes,223407,223 
61,96822,611,Master's,No,230960,231 
37,131836,657,PhD,Yes,22699,23 
47,37882,398,PhD,Yes,138883,139 
28,72464,739,High School,Yes,129521,130 
45,15926,777,PhD,Yes,93334,93 
42,38024,763,PhD,Yes,106385,106 
56,145071,480,High School,No,31141,31 
50,19296,826,Bachelor's,No,91875,92 
18,146668,517,High School,No,215629,216 
44,114043,406,Master's,No,198339,198 
69,19459,726,High School,Yes,29148,29 
30,87178,310,High School,Yes,85001,85 
58,94033,815,Bachelor's,Yes,159468,159 
20,102312,797,Bachelor's,No,17975,18 
56,107124,317,High School,No,249352,249 
23,84774,749,Master's,Yes,120912,121 
25,127103,626,Bachelor's,No,24296,24 
44,101997,708,Bachelor's,No,151516,152 
26,47398,334,PhD,No,155340,155 
54,106956,434,PhD,Yes,87462,87 
50,59215,381,Bachelor's,No,43116,43 
68,17751,811,High School,No,152696,153 
59,135003,552,Master's,No,121490,121 
61,109471,347,High School,No,10327,10 
41,93059,413,PhD,Yes,112026,112 
32,125786,338,High School,Yes,239618,240 
49,51396,760,PhD,No,84501,85 
49,124296,506,High School,No,120730,121 
41,62578,740,PhD,No,112054,112 
58,117968,583,Bachelor's,Yes,156263,156 
69,86549,721,PhD,No,135912,136 
66,69939,672,Master's,No,193171,193 
66,142442,464,Bachelor's,Yes,229406,229 
69,142700,494,High School,Yes,25379,25 
29,38153,470,High School,Yes,130923,131 
56,22082,624,Bachelor's,Yes,61460,61 
19,91000,730,Master's,Yes,60224,60 
20,101465,366,PhD,Yes,179673,180 
66,100328,831,PhD,No,141500,142 
54,118126,337,Bachelor's,No,211925,212 
66,99582,671,High School,No,128774,129 
34,117943,337,Bachelor's,Yes,231285,231 
66,70357,610,Bachelor's,No,54481,54 
19,70339,528,High School,No,168776,169 
19,67895,308,PhD,No,12136,12 
45,55996,742,High School,Yes,174034,174 
40,45622,716,Bachelor's,No,115010,115 
54,77280,383,High School,No,194794,195 
49,30010,550,Bachelor's,Yes,67612,68 
50,56946,645,Bachelor's,No,6451,6 
18,139771,401,PhD,Yes,118684,119 
36,74307,433,High School,Yes,66303,66 
19,97219,663,Bachelor's,No,189133,189 
61,26051,367,Bachelor's,No,196898,197 
43,65835,650,Bachelor's,No,212489,212 
49,148568,578,Bachelor's,Yes,110680,111 
23,117261,596,PhD,No,214837,215 
49,39184,533,High School,No,142572,143 
21,90751,419,Master's,No,68033,68 
28,15223,593,Master's,Yes,101750,102 
34,75449,466,PhD,No,214723,215 
55,37451,478,PhD,No,43127,43 
41,87219,401,PhD,No,169189,169 
22,51990,412,High School,No,119516,120 
69,97532,375,PhD,No,199859,200 
51,84734,655,High School,Yes,188838,189 
23,74090,571,Bachelor's,No,205698,206 
39,138971,666,PhD,No,140639,141 
28,85129,809,Bachelor's,Yes,180135,180 
65,41931,849,PhD,No,5769,6 
33,140328,826,High School,No,69711,70 
50,36135,629,Master's,Yes,185019,185 
26,19860,788,Master's,Yes,79822,80 
23,25382,399,PhD,Yes,143017,143 
33,132284,317,High School,No,178353,178 
46,149269,376,Bachelor's,No,112616,113 
20,18625,643,Bachelor's,Yes,58127,58 
37,109407,332,PhD,Yes,141444,141 
53,112739,475,Bachelor's,Yes,79572,80 
36,125253,809,PhD,No,99149,99 
43,135815,382,Bachelor's,Yes,117606,118 
20,109299,720,High School,Yes,237498,237 
36,36766,841,High School,Yes,238080,238 
37,110938,352,High School,No,104428,104 
49,20550,466,Master's,No,195705,196 
24,99820,328,PhD,Yes,100491,100 
69,50325,469,PhD,Yes,194550,195 
58,90691,614,Master's,No,58855,59 
50,29876,342,Master's,Yes,203759,204 
57,120684,642,PhD,No,69420,69 
56,49119,678,Bachelor's,No,138981,139 
35,127186,806,Master's,Yes,91246,91 
57,23764,315,Bachelor's,Yes,78444,78 
18,148711,477,Master's,Yes,221638,222 
28,38051,595,High School,Yes,210838,211 
45,146321,304,PhD,Yes,148088,148 
42,44991,312,PhD,No,63637,64 
67,27623,680,PhD,Yes,71510,72 
40,58540,476,Bachelor's,Yes,127266,127 
48,51719,339,Master's,No,248465,248 
47,34638,754,Master's,No,136472,136 
59,49164,530,Bachelor's,Yes,162916,163 
52,139946,499,Master's,Yes,184340,184 
24,83151,324,Master's,No,234323,234 
33,60484,546,High School,No,116501,117 
43,56029,518,Master's,No,237121,237 
65,127576,461,Master's,Yes,205024,205 
69,16945,396,PhD,Yes,167105,167 
66,126029,787,Master's,Yes,11864,12 
19,92790,815,PhD,No,52133,52 
18,94495,626,Master's,Yes,194108,194 
65,60298,399,PhD,No,97181,97 
29,21718,816,Bachelor's,No,150488,150 
22,17957,659,PhD,No,64185,64 
54,110964,641,Master's,No,63551,64 
49,22881,823,Bachelor's,No,151191,151 
26,27633,518,PhD,Yes,130243,130 
58,122515,698,Bachelor's,Yes,180859,181 
52,129391,402,High School,No,222103,222 
36,118282,718,PhD,Yes,106919,107 
65,30370,648,Master's,No,170883,171 
33,100822,592,High School,Yes,249620,250 
20,143978,559,High School,No,42768,43 
37,98252,586,Master's,No,76613,77 
41,83488,324,Bachelor's,Yes,73238,73 
50,90093,331,PhD,No,124701,125 
41,147188,517,High School,Yes,136447,136 
69,109647,644,Master's,No,130258,130 
28,123690,435,Master's,Yes,163015,163 
66,93229,677,Bachelor's,No,196998,197 
25,111552,777,Master's,No,46936,47 
53,133523,569,PhD,No,157184,157 
55,138123,773,Master's,Yes,129240,129 
57,50597,399,Master's,No,24961,25 
37,113145,598,High School,Yes,74341,74 
52,95299,444,PhD,No,81939,82 
65,46626,406,PhD,Yes,140364,140 
42,75794,552,High School,No,14788,15 
52,125986,745,High School,No,138424,138 
42,33131,422,Bachelor's,Yes,71783,72 
46,32886,341,Bachelor's,Yes,86815,87 
35,110748,379,High School,Yes,196239,196 
63,64784,672,Master's,Yes,123091,123 
35,59929,691,Bachelor's,No,182885,183 
19,126702,589,Bachelor's,Yes,50493,50 
52,40949,371,Bachelor's,No,89073,89 
33,80939,715,Master's,Yes,97406,97 
58,19553,364,Master's,Yes,179459,179 
53,68103,681,Master's,No,121907,122 
50,61012,423,Bachelor's,No,146528,147 
21,83269,747,Master's,Yes,16848,17 
50,66861,839,PhD,No,119251,119 
31,94001,808,High School,Yes,186700,187 
38,90026,728,Bachelor's,Yes,85781,86 
65,20013,730,PhD,No,227242,227 
37,116949,662,PhD,Yes,42529,43 
25,43470,490,Master's,Yes,188375,188 
24,64544,839,High School,Yes,138247,138 
20,37722,473,PhD,Yes,220616,221 
34,126552,812,Master's,No,174472,174 
50,147122,832,PhD,Yes,139900,140 
65,96299,455,PhD,Yes,51752,52 
29,76596,374,Bachelor's,Yes,161843,162 
68,91446,653,Bachelor's,Yes,65709,66 
39,67640,402,High School,Yes,17812,18 
39,135974,518,PhD,No,172423,172 
63,103486,676,PhD,Yes,21859,22 
47,114729,309,Bachelor's,No,152289,152 
55,144351,814,Master's,Yes,153788,154 
55,137136,695,Bachelor's,Yes,196226,196 
62,82032,465,PhD,Yes,25481,25 
68,120816,748,Bachelor's,Yes,49277,49 
25,138579,535,Master's,Yes,181181,181 
44,123224,617,PhD,No,129392,129 
44,69372,376,Master's,No,182126,182 
51,122296,553,PhD,Yes,187785,188 
38,37962,679,Master's,No,143441,143 
47,46335,453,High School,Yes,240597,241 
50,111010,475,Bachelor's,No,220554,221 
45,109740,711,Master's,Yes,243284,243 
64,47552,842,High School,Yes,212203,212 
50,18906,635,Bachelor's,Yes,194770,195 
22,28117,695,Bachelor's,Yes,212209,212 
65,144737,497,Master's,No,114935,115 
36,101388,493,PhD,Yes,219183,219 
21,15954,774,Master's,No,103009,103 
52,80726,477,Master's,Yes,106098,106 
66,94405,481,PhD,Yes,99918,100 
34,24764,670,PhD,Yes,161647,162 
61,99528,374,Bachelor's,Yes,40005,40 
45,66737,413,PhD,No,20903,21 
47,111570,551,PhD,No,105113,105 
46,21073,773,Master's,Yes,52020,52 
63,32500,634,Master's,No,224408,224 
23,140592,737,Bachelor's,Yes,152242,152 
52,89505,634,PhD,No,80340,80 
58,84901,761,Master's,Yes,120786,121 
54,33660,782,Bachelor's,Yes,227356,227 
41,112529,610,Master's,Yes,145723,146 
46,54693,513,PhD,No,169555,170 
66,81801,646,Bachelor's,No,6871,7 
63,141579,360,Bachelor's,Yes,218850,219 
48,93300,456,Master's,No,211605,212 
52,108825,653,High School,Yes,245290,245 
50,80680,732,Bachelor's,Yes,175937,176 
69,53557,789,Bachelor's,Yes,239096,239 
38,149975,611,PhD,Yes,156294,156 
49,96778,536,Master's,Yes,68210,68 
40,99026,497,High School,Yes,123150,123 
50,33014,344,Master's,Yes,118574,119 
20,125194,536,High School,No,154168,154 
35,73542,405,PhD,Yes,216167,216 
42,96539,837,Master's,Yes,243212,243 
59,78631,826,Master's,No,16521,17 
48,95084,723,High School,No,204381,204 
20,70614,506,High School,Yes,112869,113 
57,70279,379,Master's,Yes,13832,14 
63,38176,370,Bachelor's,Yes,52978,53 
41,70467,690,Bachelor's,No,49877,50 
67,86990,521,High School,No,98898,99 
49,97194,479,Bachelor's,Yes,6756,7 
64,34681,678,Bachelor's,No,90593,91 
39,94038,715,Bachelor's,No,166144,166 
40,96803,739,Bachelor's,No,113636,114 
19,66280,495,PhD,No,130725,131 
44,117886,679,Bachelor's,No,24397,24 
59,62619,414,Bachelor's,Yes,199692,200 
19,37915,325,High School,Yes,154326,154 
43,64266,320,High School,Yes,219314,219 
34,146364,555,High School,No,243719,244 
57,39476,718,High School,Yes,74426,74 
50,86461,602,Master's,Yes,128874,129 
26,48143,435,Bachelor's,Yes,24854,25 
60,143376,307,High School,No,210111,210 
65,109863,802,Bachelor's,Yes,23012,23 
56,60506,505,Bachelor's,No,226352,226 
46,130449,341,PhD,No,100266,100 
59,139807,794,Master's,No,122762,123 
43,48279,571,Bachelor's,No,118998,119 
52,89486,848,High School,Yes,20728,21 
67,123299,624,PhD,Yes,233487,233 
42,106797,427,Master's,No,242028,242 
41,134204,675,Bachelor's,Yes,189185,189 
30,119467,630,Master's,No,142355,142 
24,131393,320,Master's,No,140113,140 
53,77583,420,Master's,Yes,179212,179 
62,124174,494,Bachelor's,No,80143,80 
37,52295,514,High School,No,104156,104 
18,79231,776,High School,Yes,157380,157 
25,78243,616,High School,No,222966,223 
63,88324,501,PhD,Yes,15440,15 
33,79201,459,PhD,Yes,217455,217 
31,146965,687,Master's,No,32296,32 
29,60231,364,Master's,No,108847,109 
68,92660,824,Bachelor's,Yes,202389,202 
40,85694,827,Bachelor's,Yes,50722,51 
32,72104,771,Master's,Yes,55257,55 
45,113966,769,Master's,Yes,241109,241 
51,65738,530,High School,No,40224,40 
19,90296,541,Master's,No,14357,14 
49,99272,425,PhD,No,133880,134 
40,85946,350,High School,Yes,20737,21 
39,120980,415,Bachelor's,Yes,93703,94 
68,145503,316,Bachelor's,No,183534,184 
42,63648,684,Bachelor's,Yes,220167,220 
39,49381,348,High School,Yes,138288,138 
39,57128,328,PhD,Yes,18767,19 
66,139669,563,PhD,Yes,215085,215 
69,17779,775,PhD,Yes,115520,116 
59,110815,700,High School,Yes,46704,47 
23,92689,671,High School,Yes,237221,237 
32,18881,658,Bachelor's,Yes,58835,59 
60,100452,656,PhD,Yes,170578,171 
54,55135,614,High School,Yes,87353,87 
50,89376,774,PhD,Yes,191758,192 
25,101427,676,Bachelor's,Yes,108922,109 
61,60507,413,PhD,Yes,220267,220 
61,108552,341,Master's,Yes,141001,141 
22,78113,648,Bachelor's,No,152672,153 
56,106316,524,Master's,No,73398,73 
21,78230,706,Master's,No,232830,233 
23,15814,628,Master's,No,73988,74 
62,90557,779,High School,No,19857,20 
49,26696,781,PhD,No,90047,90 
69,36168,398,Bachelor's,No,13701,14 
47,140757,466,High School,No,231436,231 
64,142060,793,High School,No,198720,199 
52,110661,741,Bachelor's,No,30709,31 
57,23490,421,High School,No,116825,117 
69,130068,557,Bachelor's,No,248637,249 
33,63936,405,PhD,Yes,128106,128 
30,125285,635,Master's,Yes,172313,172 
67,122002,752,PhD,Yes,33590,34 
59,86457,809,High School,Yes,150806,151 
47,137810,325,High School,No,225508,226 
36,25188,452,High School,No,160349,160 
34,24114,582,Master's,Yes,116312,116 
36,128417,432,Master's,No,45269,45 
45,16293,420,Bachelor's,Yes,96872,97 
43,131626,301,PhD,Yes,54614,55 
54,96439,711,High School,No,105579,106 
43,121216,348,High School,Yes,188407,188 
40,97941,675,PhD,No,117413,117 
26,72181,563,Bachelor's,No,10592,11 
29,103036,337,Master's,Yes,209538,210 
18,108968,673,Bachelor's,No,49135,49 
18,50554,806,Master's,Yes,97542,98 
64,138307,532,Master's,Yes,94549,95 
51,103065,672,Master's,No,207731,208 
49,138243,409,Master's,No,232585,233 
65,82639,574,High School,Yes,118648,119 
42,133685,590,Bachelor's,No,104776,105 
57,34621,695,High School,No,156326,156 
62,71539,514,Master's,No,10118,10 
18,43449,794,PhD,No,185965,186 
33,109000,707,High School,No,106103,106 
56,70711,694,PhD,Yes,187625,188 
22,142369,576,Bachelor's,Yes,190352,190 
39,25937,645,High School,No,112770,113 
46,20551,766,High School,Yes,210598,211 
20,98066,778,PhD,Yes,246464,246 
29,144311,479,High School,No,188525,189 
43,37148,310,Bachelor's,No,114770,115 
33,113732,517,High School,Yes,170565,171 
68,117750,546,Bachelor's,Yes,49635,50 
54,69821,636,PhD,Yes,86782,87 
39,39662,733,High School,No,186856,187 
46,148500,465,Master's,Yes,20127,20 
31,51548,549,PhD,Yes,243295,243 
45,90560,405,PhD,Yes,135269,135 
22,53070,646,Master's,Yes,240525,241 
64,42052,450,High School,No,206164,206 
66,99175,505,High School,Yes,221951,222 
47,55265,518,High School,No,128759,129 
63,139835,427,Master's,Yes,71477,71 
69,75574,546,Bachelor's,Yes,142924,143 
22,121345,407,High School,No,180591,181 
29,91516,765,High School,Yes,159970,160 
33,109642,688,Master's,No,90810,91 
43,15445,397,Master's,No,5175,5 
43,127212,472,PhD,Yes,243049,243 
65,67849,733,High School,Yes,175936,176 
38,82165,634,High School,Yes,46860,47 
56,119186,594,Bachelor's,Yes,161509,162 
53,102634,550,Master's,Yes,114489,114 
50,112223,441,PhD,No,38924,39 
47,40879,644,High School,No,45804,46 
54,125249,599,High School,Yes,173565,174 
40,137087,558,Master's,No,13782,14 
27,138010,780,Bachelor's,No,142201,142 
22,128615,483,High School,Yes,26066,26 
53,24074,622,PhD,No,238069,238 
51,39980,381,Bachelor's,No,192286,192 
69,73245,781,High School,Yes,185360,185 
48,35548,835,PhD,Yes,153279,153 
27,75667,371,PhD,Yes,149336,149 
36,22808,380,Master's,Yes,51900,52 
49,135589,773,PhD,No,128230,128 
18,143478,424,Master's,No,112408,112 
22,146194,584,High School,Yes,43790,44 
62,38824,707,Bachelor's,Yes,206325,206 
21,113705,761,Bachelor's,No,190061,190 
33,42895,406,Bachelor's,Yes,159752,160 
41,56866,411,High School,No,206388,206 
33,98652,486,PhD,No,110922,111 
19,30510,776,High School,No,26120,26 
66,81362,506,Master's,No,217033,217 
45,55515,325,Bachelor's,No,133379,133 
49,149281,342,Bachelor's,No,16351,16 
44,135454,384,Master's,No,199750,200 
37,145897,638,High School,No,90321,90 
41,107066,507,PhD,No,35483,35 
29,70149,493,PhD,Yes,64556,65 
67,136234,807,High School,Yes,18825,19 
52,56812,325,Bachelor's,Yes,156829,157 
50,62858,541,Bachelor's,Yes,58552,59 
50,94591,783,High School,Yes,233127,233 
68,66045,521,High School,Yes,20293,20 
60,140677,679,Master's,Yes,65836,66 
54,90142,439,High School,No,242756,243 
29,122442,792,Master's,No,57684,58 
20,20896,802,High School,Yes,63256,63 
18,82127,686,High School,Yes,48923,49 
50,107508,720,PhD,Yes,147069,147 
57,45872,423,PhD,No,74029,74 
27,63423,686,PhD,No,43951,44 
60,76061,843,Master's,Yes,241499,241 
61,102742,409,Bachelor's,Yes,211095,211 
46,113832,802,High School,No,68969,69 
30,137123,758,Bachelor's,Yes,169046,169 
29,69581,571,Bachelor's,No,157894,158 
48,87135,471,Master's,Yes,144283,144 
63,91815,608,Master's,No,25013,25 
19,78365,409,Bachelor's,Yes,181841,182 
68,140095,617,PhD,No,88870,89 
67,59176,558,Master's,No,88395,88 
52,33958,833,Bachelor's,No,247790,248 
40,111741,762,PhD,Yes,57127,57 
34,78292,445,Bachelor's,No,115782,116 
43,49812,710,High School,Yes,130024,130 
25,26990,387,Master's,No,137843,138 
46,111032,732,PhD,Yes,120563,121 
43,41110,709,PhD,Yes,60600,61 
27,115554,503,Bachelor's,No,244213,244 
43,57436,363,Bachelor's,No,135567,136 
51,94991,777,Master's,No,18174,18 
68,101839,820,Bachelor's,Yes,117792,118 
58,132514,449,Bachelor's,Yes,177094,177 
24,36821,326,Bachelor's,Yes,210620,211 
21,55574,613,PhD,Yes,86122,86 
67,39954,691,Bachelor's,Yes,128364,128 
62,80052,659,PhD,No,81994,82 
28,123607,635,High School,No,78506,79 
46,43806,763,Bachelor's,No,213229,213 
53,119131,624,High School,No,225852,226 
42,107095,466,PhD,Yes,78860,79 
38,25493,395,High School,No,28060,28 
53,148934,519,PhD,No,158631,159 
27,83715,552,High School,Yes,113194,113 
54,58091,535,Master's,No,85232,85 
26,82611,574,Bachelor's,Yes,47555,48 
41,57156,650,Master's,Yes,109996,110 
52,84353,785,High School,Yes,169207,169 
66,53116,594,Bachelor's,No,203634,204 
52,132976,330,High School,No,200185,200 
65,78921,680,Bachelor's,No,98335,98 
53,75317,657,Master's,Yes,104886,105 
35,125863,608,Bachelor's,Yes,245494,245 
66,104133,817,High School,Yes,182916,183 
